0.00E+00,0
1.00E-04,0.462
2.00E-04,0.524
3.00E-04,0.586
4.00E-04,0.648
5.00E-04,0.71
6.00E-04,0.772
7.00E-04,0.834
8.00E-04,0.896
9.00E-04,0.958
1.00E-03,1.02
1.10E-03,1.082
1.20E-03,1.144
1.30E-03,1.206
1.40E-03,1.268
1.50E-03,1.33
1.60E-03,1.392
1.70E-03,1.454
1.80E-03,1.516
1.90E-03,1.578
2.00E-03,1.64
2.10E-03,1.702
2.20E-03,1.764
2.30E-03,1.826
2.40E-03,1.888
2.50E-03,1.95
2.60E-03,2.012
2.70E-03,2.074
2.80E-03,2.136
2.90E-03,2.198
3.00E-03,2.26
3.10E-03,2.322
3.20E-03,2.384
3.30E-03,2.446
3.40E-03,2.508
3.50E-03,2.57
3.60E-03,2.632
3.70E-03,2.694
3.80E-03,2.756
3.90E-03,2.818
4.00E-03,2.88
4.10E-03,2.942
4.20E-03,3.004
4.30E-03,3.066
4.40E-03,3.128
4.50E-03,3.19
4.60E-03,3.252
4.70E-03,3.314
4.80E-03,3.376
4.90E-03,3.438
5.00E-03,3.5
5.10E-03,2.7
5.20E-03,2.638
5.30E-03,2.576
5.40E-03,2.514
5.50E-03,2.452
5.60E-03,2.39
5.70E-03,2.328
5.80E-03,2.266
5.90E-03,2.204
6.00E-03,2.142
6.10E-03,2.08
6.20E-03,2.018
6.30E-03,1.956
6.40E-03,1.894
6.50E-03,1.832
6.60E-03,1.77
6.70E-03,1.708
6.80E-03,1.646
6.90E-03,1.584
7.00E-03,1.522
7.10E-03,1.46
7.20E-03,1.398
7.30E-03,1.336
7.40E-03,1.274
7.50E-03,1.212
7.60E-03,1.15
7.70E-03,1.088
7.80E-03,1.026
7.90E-03,0.964
8.00E-03,0.902
8.10E-03,0.84
8.20E-03,0.778
8.30E-03,0.716
8.40E-03,0.654
8.50E-03,0.592
8.60E-03,0.53
8.70E-03,0.468
8.80E-03,0.406
8.90E-03,0.344
9.00E-03,0.282
9.10E-03,2.20E-01
9.20E-03,0.158
9.30E-03,0.096
9.40E-03,0.034
9.50E-03,-0.028
9.60E-03,-0.09
9.70E-03,-0.152
9.80E-03,-0.214
9.90E-03,-0.276
1.00E-02,-0.338
1.01E-02,0
